"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1572","test_main_headings","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","7354","test_header_search_functionality_valid_data","tests","2026-04-24","passed","2026-04-24","TestHeaderPage","test_header_page","",""
"","8175","test_breadcrumb_functionality","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","17312","test_header_option_navigation_and_header_validation","tests","2026-04-24","passed","2026-04-24","TestHeaderPage","test_header_page","",""
"","14673","test_load_more_featured_articles","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","11560","test_contribute_PV_and_subscription_navigations_another_tab","tests","2026-04-24","passed","2026-04-24","TestHeaderPage","test_header_page","",""
"","14690","test_load_more_business_of_medicine","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","18564","test_business_of_medicine","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","6550","test_podcast_section","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","19992","test_specialties_allergy_navigation_K_Articules","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","6133","test_header_search_functionality_invalid_data","tests","2026-04-24","passed","2026-04-24","TestHeaderPage","test_header_page","",""
"","5102","test_home_page_validation","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","23245","test_header_commentary_menu_redirection","tests","2026-04-24","failed","2026-04-24","TestHeaderPage","test_header_page","",""
"","63873","test_search_functionality","tests","2026-04-24","passed","2026-04-24","TestE2EFlow","test_e2e_flow","",""
"","18497","test_load_more_doctor_voice","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","21706","test_Knowladge_hub__all_links_images_naviagtion_count_and_statuscodes","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","4340","test_logo_redirect_to_homepage","tests","2026-04-24","passed","2026-04-24","TestHeaderPage","test_header_page","",""
"","20617","test_specialties_status_and_navigation","tests","2026-04-24","passed","2026-04-24","TestHeaderPage","test_header_page","",""
"","45830","test_specialties_menu_redirection","tests","2026-04-24","passed","2026-04-24","TestHeaderPage","test_header_page","",""
"","23190","test_all_buttons","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","19884","test_doctors_voice_section","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","36886","test_subfeatured_articles","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
"","24849","test_cartoons_section","tests","2026-04-24","passed","2026-04-24","TestHomePage","test_home_page","",""
